epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.157955,1.67081,4.14834,1.40706,0.00077,0.1,0.00084,0.00056,1.54735,4.05307,1.64889,2e-05,2e-05,2e-05
2,0.342188,1.71677,4.04826,1.47279,0.00077,0.1,0.00097,0.00067,1.54801,4.03104,1.63895,5.99406e-05,5.99406e-05,5.99406e-05
3,0.501254,1.59377,4.05862,1.55435,0.00103,0.13333,0.00146,0.00045,1.53386,3.96834,1.65236,9.9802e-05,9.9802e-05,9.9802e-05
4,0.696515,1.06611,3.59425,1.1977,0.00179,0.23333,0.00205,0.0012,1.496,3.92746,1.39616,0.000139584,0.000139584,0.000139584
5,0.903757,1.16795,3.68304,1.13013,0.00231,0.3,0.00606,0.00254,1.67763,3.79917,1.46846,0.000179287,0.000179287,0.000179287
6,1.10822,1.70872,3.71781,1.23371,0.00308,0.4,0.01156,0.00364,1.83574,3.81135,1.50534,0.000218911,0.000218911,0.000218911
7,1.31228,1.12039,3.05114,1.08461,0.00359,0.46667,0.01669,0.00793,1.79362,3.87465,1.46468,0.000258456,0.000258456,0.000258456
8,1.51534,1.21456,3.04532,1.07292,0.00359,0.46667,0.01918,0.01087,1.76239,3.81566,1.4049,0.000297921,0.000297921,0.000297921
9,1.79058,1.24568,2.73097,1.08754,0.00333,0.43333,0.05496,0.02043,1.80165,3.79748,1.43663,0.000337307,0.000337307,0.000337307
10,1.98307,1.3799,2.51605,1.09022,0.00308,0.4,0.09658,0.03177,1.85104,3.78009,1.42945,0.000376614,0.000376614,0.000376614
11,2.17819,1.16389,2.22337,1.09889,0.00359,0.46667,0.10437,0.039,1.88987,3.71814,1.46924,0.000415842,0.000415842,0.000415842
12,2.37194,1.45122,2.19391,1.17771,0.0041,0.53333,0.11002,0.0459,1.92303,3.67001,1.50152,0.000454991,0.000454991,0.000454991
13,2.56535,1.15922,1.85471,1.1007,0.00436,0.56667,0.11426,0.06004,1.64873,3.64631,1.3926,0.00049406,0.00049406,0.00049406
14,2.7606,1.11473,1.96435,1.04011,0.00436,0.56667,0.17248,0.09236,1.61669,3.60886,1.35152,0.00053305,0.00053305,0.00053305
15,2.95441,1.17205,1.82099,1.08283,0.0041,0.53333,0.18296,0.10802,1.58298,3.57949,1.3178,0.000571961,0.000571961,0.000571961
16,3.15226,1.24288,1.73685,1.10093,0.00436,0.56667,0.20891,0.11943,1.5595,3.57562,1.31534,0.000610793,0.000610793,0.000610793
17,3.34674,1.17065,1.86998,1.14431,0.00436,0.56667,0.17499,0.09248,1.71213,3.63392,1.39398,0.000649546,0.000649546,0.000649546
18,3.53536,1.17612,1.85271,1.07628,0.00513,0.66667,0.11914,0.06942,1.72075,3.66938,1.27664,0.000688219,0.000688219,0.000688219
19,3.72356,1.08288,1.76235,0.9937,0.00487,0.63333,0.11802,0.08559,1.6675,3.62857,1.26382,0.000726813,0.000726813,0.000726813
20,3.91127,1.20258,1.7352,1.02888,0.00436,0.56667,0.1162,0.07779,1.60605,3.6278,1.29813,0.000765328,0.000765328,0.000765328
21,4.1839,1.15085,1.72039,1.07096,0.00487,0.63333,0.10957,0.07829,1.53844,3.57907,1.39445,0.000803764,0.000803764,0.000803764
22,4.37085,1.18364,1.85544,0.98362,0.00462,0.6,0.11728,0.06223,1.56073,3.59963,1.45346,0.000842121,0.000842121,0.000842121
23,4.55812,1.07614,1.90886,1.10438,0.00462,0.6,0.10807,0.05269,1.67494,3.64004,1.43276,0.000880398,0.000880398,0.000880398
24,4.74865,1.29167,1.71734,1.07269,0.02968,0.23333,0.05507,0.034,1.75935,3.66051,1.42728,0.000918596,0.000918596,0.000918596
25,4.93356,1.34538,1.65308,1.07669,0.09218,0.1,0.03504,0.02114,1.75602,3.7264,1.39143,0.000956715,0.000956715,0.000956715
26,5.12287,1.18786,2.02853,1.20079,0.00359,0.46667,0.01265,0.00807,1.69139,3.73501,1.44962,0.000994755,0.000994755,0.000994755
27,5.31307,1.21851,1.61972,1.02377,0.00282,0.36667,0.0154,0.0071,1.70504,3.829,1.48276,0.00103272,0.00103272,0.00103272
28,5.49526,1.02456,1.688,1.04005,0.00282,0.36667,0.0154,0.0071,1.70504,3.829,1.48276,0.0010706,0.0010706,0.0010706
29,5.68358,1.11174,1.46207,1.03609,0.00347,0.26667,0.01763,0.00998,1.78303,3.85654,1.41313,0.0011084,0.0011084,0.0011084
30,5.87008,1.21575,1.6238,0.97785,0.07411,0.03333,0.02497,0.0079,2.02288,3.80746,1.55403,0.00114612,0.00114612,0.00114612
31,6.05064,0.99446,1.55864,1.0319,0.07411,0.03333,0.02497,0.0079,2.02288,3.80746,1.55403,0.00118377,0.00118377,0.00118377
32,6.31439,1.20603,1.44544,1.09483,0.2031,0.03333,0.02118,0.00927,2.08594,3.90701,1.62576,0.00122133,0.00122133,0.00122133
33,6.5036,0.96268,1.35839,0.96665,0.21967,0.03333,0.04113,0.01016,2.07769,3.7904,1.58543,0.00125882,0.00125882,0.00125882
34,6.68331,1.00952,1.51394,0.99896,0.21967,0.03333,0.04113,0.01016,2.07769,3.7904,1.58543,0.00129622,0.00129622,0.00129622
35,6.87341,1.10493,1.41422,1.02954,0.21001,0.06667,0.0636,0.02419,1.97267,3.64112,1.51478,0.00133355,0.00133355,0.00133355
36,7.06548,1.09857,1.55268,1.10187,0.36696,0.1,0.09141,0.04587,2.17978,3.53367,1.58932,0.0013708,0.0013708,0.0013708
